x1,y1,x2,y2,bpr
0,0,68000,1800,0
0,1800,68000,2000,0
0,2000,68000,100000,0
0,100000,68000,112000,0
0,112000,68000,144000,0
0,144000,68000,154000,0
0,154000,68000,161800,0
0,161800,68000,162160,0
0,162160,68000,166000,0
0,166000,68000,191800,0
0,191800,68000,218000,0
0,218000,68000,239998,0
0,239998,68000,399998,0
0,399998,68000,480000,0
0,480000,68000,559998,0
0,559998,68000,560000,0
0,560000,68000,640000,0
0,640000,68000,1360000,0
0,1360000,68000,1440000,0
0,1440000,68000,1520000,0
0,1520000,68000,1760000,0
0,1760000,68000,1761800,0
0,1761800,68000,1840000,0
0,1840000,68000,1920000,0
0,1920000,68000,2000000,0
0,2000000,68000,2079999,0
0,2079999,68000,2080000,0
0,2080000,68000,2160000,0
0,2160000,68000,2239998,0
0,2239998,68000,2240000,0
0,2240000,68000,2249998,0
0,2249998,68000,2250000,0
0,2250000,68000,2256000,0
0,2256000,68000,2276000,0
0,2276000,68000,2294000,0
0,2294000,68000,2320000,0
0,2320000,68000,2400000,0
0,2400000,68000,2501800,0
0,2501800,68000,2547840,0
0,2547840,68000,2559998,0
0,2559998,68000,2562000,0
0,2562000,68000,2566000,0
0,2566000,68000,2639998,0
0,2639998,68000,2640000,0
0,2640000,68000,2719998,0
0,2719998,68000,2720000,0
0,2720000,68000,2761998,0
0,2761998,68000,2762000,0
0,2762000,68000,2763998,0
0,2763998,68000,2764000,0
0,2764000,68000,2772000,0
0,2772000,68000,2799998,0
0,2799998,68000,2800000,0
0,2800000,68000,2860000,0
0,2860000,68000,2864000,0
0,2864000,68000,2867600,0
0,2867600,68000,2879998,0
0,2879998,68000,2880000,0
0,2880000,68000,2892840,0
0,2892840,68000,2896000,0
0,2896000,68000,2908000,0
0,2908000,68000,2943998,0
0,2943998,68000,2944000,0
0,2944000,68000,2956000,0
0,2956000,68000,2959998,0
0,2959998,68000,3039998,0
0,3039998,68000,3040000,0
0,3040000,68000,3119998,0
0,3119998,68000,3120000,0
0,3120000,68000,3146000,0
0,3146000,68000,3154000,0
0,3154000,68000,3199998,0
0,3199998,68000,3200000,0
0,3200000,68000,3253998,0
0,3253998,68000,3254000,0
0,3254000,68000,3260000,0
0,3260000,68000,3264000,0
0,3264000,68000,3266000,0
0,3266000,68000,3268000,0
0,3268000,68000,3276000,0
0,3276000,68000,3279998,0
0,3279998,68000,3280000,0
0,3280000,68000,3286000,0
0,3286000,68000,3332000,0
0,3332000,68000,3340000,0
0,3340000,68000,3359998,0
0,3359998,68000,3396000,0
0,3396000,68000,3408000,0
0,3408000,68000,3439998,0
0,3439998,68000,3440000,0
0,3440000,68000,3506000,0
0,3506000,68000,3512000,0
0,3512000,68000,3519998,0
0,3519998,68000,3520000,0
0,3520000,68000,3545840,0
0,3545840,68000,3588000,0
0,3588000,68000,3599998,0
0,3599998,68000,3600000,0
0,3600000,68000,3638160,0
0,3638160,68000,3645998,0
0,3645998,68000,3646000,0
0,3646000,68000,3674000,0
0,3674000,68000,3679998,0
0,3679998,68000,3680000,0
0,3680000,68000,3759998,0
0,3759998,68000,3760000,0
0,3760000,68000,3839998,0
0,3839998,68000,3840000,0
0,3840000,68000,3919998,0
0,3919998,68000,3920000,0
0,3920000,68000,3961998,0
0,3961998,68000,3962000,0
0,3962000,68000,3990000,0
0,3990000,68000,3999998,0
0,3999998,68000,4000000,0
0,4000000,68000,4079998,0
0,4079998,68000,4080000,0
0,4080000,68000,4084000,0
0,4084000,68000,4096000,0
0,4096000,68000,4136000,0
0,4136000,68000,4159998,0
0,4159998,68000,4160000,0
0,4160000,68000,4234000,0
0,4234000,68000,4239998,0
0,4239998,68000,4240000,0
0,4240000,68000,4256000,0
0,4256000,68000,4269040,0
0,4269040,68000,4319998,0
0,4319998,68000,4320000,0
0,4320000,68000,4399998,0
0,4399998,68000,4400000,0
0,4400000,68000,4476000,0
0,4476000,68000,4479998,0
0,4479998,68000,4480000,0
0,4480000,68000,4496000,0
0,4496000,68000,4500000,0
0,4500000,68000,4508000,0
0,4508000,68000,4522000,0
0,4522000,68000,4560000,0
0,4560000,68000,4639998,0
0,4639998,68000,4640000,0
0,4640000,68000,4719998,0
0,4719998,68000,4720000,0
0,4720000,68000,4794000,0
0,4794000,68000,4798000,0
0,4798000,68000,4798240,0
0,4798240,68000,4800000,0
0,4800000,68000,4812000,0
0,4812000,68000,4818000,0
0,4818000,68000,4828000,0
0,4828000,68000,4836000,0
0,4836000,68000,4879998,0
0,4879998,68000,4880000,0
0,4880000,68000,4883998,0
0,4883998,68000,4884000,0
0,4884000,68000,4886160,0
0,4886160,68000,4891998,0
0,4891998,68000,4892000,0
0,4892000,68000,4894000,0
0,4894000,68000,4898000,0
0,4898000,68000,4900000,0
0,4900000,68000,4902000,0
0,4902000,68000,4959998,0
0,4959998,68000,4960000,0
0,4960000,68000,4996000,0
0,4996000,68000,5039998,0
0,5039998,68000,5040000,0
0,5040000,68000,5097998,0
0,5097998,68000,5098000,0
0,5098000,68000,5119998,0
0,5119998,68000,5120000,0
0,5120000,68000,5160000,0
0,5160000,68000,5165998,0
0,5165998,68000,5166000,0
0,5166000,68000,5184000,0
0,5184000,68000,5190000,0
0,5190000,68000,5191840,0
0,5191840,68000,5194000,0
0,5194000,68000,5200000,0
0,5200000,68000,5218000,0
0,5218000,68000,5228000,0
0,5228000,68000,5280000,0
0,5280000,68000,5346000,0
0,5346000,68000,5360000,0
0,5360000,68000,5440000,0
0,5440000,68000,5492000,0
0,5492000,68000,5494000,0
0,5494000,68000,5498000,0
0,5498000,68000,5520000,0
0,5520000,68000,5600000,0
0,5600000,68000,5680000,0
0,5680000,68000,5760000,0
0,5760000,68000,5820000,0
0,5820000,68000,5822000,0
0,5822000,68000,5826000,0
0,5826000,68000,5840000,0
0,5840000,68000,5919998,0
0,5919998,68000,5920000,0
0,5920000,68000,5942000,0
0,5942000,68000,5987998,0
0,5987998,68000,5988000,0
0,5988000,68000,5994000,0
0,5994000,68000,5999998,0
0,5999998,68000,6010000,0
0,6010000,68000,6012000,0
0,6012000,68000,6016000,0
0,6016000,68000,6018000,0
0,6018000,68000,6038000,0
0,6038000,68000,6046000,0
0,6046000,68000,6058000,0
0,6058000,68000,6060000,0
0,6060000,68000,6084000,0
0,6084000,68000,6096000,0
0,6096000,68000,6100000,0
0,6100000,68000,6116000,0
0,6116000,68000,6138000,0
0,6138000,68000,6159998,0
0,6159998,68000,6184000,0
0,6184000,68000,6233998,0
0,6233998,68000,6234000,0
0,6234000,68000,6234160,0
0,6234160,68000,6237998,0
0,6237998,68000,6238000,0
0,6238000,68000,6239400,0
68000,0,80000,1800,0
68000,1800,80000,2000,0
68000,2000,80000,100000,2
68000,100000,80000,112000,2
68000,112000,80000,144000,2
68000,144000,80000,154000,2
68000,154000,80000,161800,2
68000,161800,80000,162160,2
68000,162160,80000,166000,2
68000,166000,80000,191800,2
68000,191800,80000,218000,2
68000,218000,80000,239998,2
68000,239998,80000,399998,2
68000,399998,80000,480000,2
68000,480000,80000,559998,2
68000,559998,80000,560000,2
68000,560000,80000,640000,2
68000,640000,80000,1360000,2
68000,1360000,80000,1440000,2
68000,1440000,80000,1520000,2
